City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.49,broken clouds,-23.1203,-134.9692,People ThankYou
3,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
4,Avarua,CK,76.96,overcast clouds,-21.2078,-159.775,Paradise Inn
8,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
10,Kavieng,PG,83.08,light rain,-2.5744,150.7967,Nusa Island Retreat
11,Dingle,PH,88.83,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
32,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.0833,Scoop Guest House
33,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
34,Tautira,PF,81.27,light rain,-17.7333,-149.15,Pension Oaoa
36,Mogadishu,SO,81.01,clear sky,2.0371,45.3438,Hotel Juba
37,Atuona,PF,78.73,clear sky,-9.8,-139.0333,Villa Enata
38,San Patricio,US,78.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
40,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
47,Vega De Alatorre,MX,77.18,clear sky,20.0333,-96.6333,Hotel D Luxe
49,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
51,Champerico,GT,84.92,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
56,Butaritari,KI,81.73,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
63,Namatanai,PG,84.96,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
66,Meulaboh,ID,83.61,overcast clouds,4.1363,96.1285,Kost Pria
69,Dhidhdhoo,MV,81.55,moderate rain,6.8833,73.1,Dhidhoo beach
75,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
79,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
83,Kavaratti,IN,80.01,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
84,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
101,Nouakchott,MR,85.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
102,Popondetta,PG,89.2,light rain,-8.7537,148.2534,Timos Transit House
103,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
114,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
118,Sao Jose Da Coroa Grande,BR,77.38,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
120,Honavar,IN,84.83,overcast clouds,14.2833,74.45,Hotel Sagar Residency
122,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
123,Mareeba,AU,83.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
126,San Pedro,PH,89.31,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
127,Faanui,PF,81.34,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
129,Kismayo,SO,80.15,overcast clouds,-0.3582,42.5454,Agan-Hotel
131,Lebanon,US,75.25,broken clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
132,Douentza,ML,82.09,clear sky,14.9951,-2.9517,Ogomono Doumbo
141,Isangel,VU,78.44,scattered clouds,-19.55,169.2667,Tanna Lodge
144,Kudahuvadhoo,MV,83.66,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
145,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
148,Butterworth,MY,86.05,few clouds,5.3991,100.3638,Cititel Penang
153,Takoradi,GH,79.21,light rain,4.8845,-1.7554,Raybow International Hotel
158,Cabo San Lucas,MX,84.61,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
162,Seybaplaya,MX,79.09,clear sky,19.65,-90.6667,sala de fiesta san Rafael
165,Labuhan,ID,86.4,scattered clouds,-6.8844,112.2051,DoubleFAG
173,Arecibo,PR,77.97,broken clouds,18.4724,-66.7157,Atlantic Sand Oasis
177,Cockburn Town,TC,78.85,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
178,Cayenne,GF,82.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
180,Montalvo,EC,76.01,light rain,-1.8,-79.3333,Motel Los Laureles
183,Malanville,BJ,85.68,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
192,Tabou,CI,78.35,light rain,4.423,-7.3528,hotêl doufoulougou
201,Sinnamary,GF,77.9,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
202,Pishva,IR,78.53,clear sky,35.308,51.7267,شهرک خورشید هشتم
212,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
216,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
221,Lorengau,PG,84.97,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
225,Labuan,MY,83.5,few clouds,5.2767,115.2417,Tiara Labuan Hotel
228,Cairns,AU,88.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
229,Pinotepa Nacional,MX,79.5,scattered clouds,16.3167,-98.0167,Hotel Maria Del Carmen
243,Buraydah,SA,85.64,clear sky,26.326,43.975,Mövenpick Qassim
248,Acarau,BR,75.92,broken clouds,-2.8856,-40.12,castelo pizzaria
250,Karratha,AU,83.46,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
255,Porto Novo,BJ,79.09,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
272,Esna,EG,78.8,overcast clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
277,Loiza,PR,77.0,few clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
279,Nhulunbuy,AU,86.61,few clouds,-12.2333,136.7667,East Arnhem Real Estate
286,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
298,Pemangkat,ID,86.97,light rain,1.1667,108.9667,Ramah Kost KITA
299,Galesong,ID,82.42,light rain,-5.3166,119.3661,Sapriadi Appy
300,Flinders,AU,76.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
301,Puerto Carreno,CO,80.83,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
307,Lahaina,US,80.6,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
309,Keti Bandar,PK,86.04,clear sky,24.1447,67.4497,Haji laloo memon house
311,Kelamangalam,IN,81.73,overcast clouds,12.6,77.85,RK biriyani hotel
313,Brenham,US,78.98,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
314,Kolokani,ML,80.11,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
322,Marawi,PH,83.12,overcast clouds,7.9986,124.2928,Derogongan Residence
327,Ginda,IN,84.16,clear sky,30.6945,78.4932,Sunil Bisht
328,Maragogi,BR,76.95,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
330,Lamesa,US,82.53,clear sky,32.7376,-101.951,Shiloh Inn Lamesa
337,Ravar,IR,78.1,clear sky,31.2656,56.8055,computertik
338,Soe,ID,84.7,clear sky,-9.8607,124.284,Dena Hotel
339,Grand-Bourg,GP,78.75,few clouds,15.8835,-61.3148,Coco Beach Resort
345,Trincomalee,LK,86.63,overcast clouds,8.5711,81.2335,Welcombe Hotel
351,Celestun,MX,76.33,clear sky,20.8667,-90.4,Posada Lilia
353,Itupiranga,BR,75.52,moderate rain,-5.1347,-49.3267,Hotel Panorama
357,Hambantota,LK,82.74,broken clouds,6.1241,81.1185,Bungalow 63
362,Bandarbeyla,SO,85.51,overcast clouds,9.4942,50.8122,JABIR HOTEL
367,Kieta,PG,83.37,light rain,-6.2167,155.6333,Uruna Bay Retreat
369,Kampot,KH,87.85,broken clouds,10.6167,104.1833,Two Moons Hotel
374,Nizwa,OM,87.94,clear sky,22.9333,57.5333,Orient Apartments
375,Hede,CN,80.55,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
376,Qixia,CN,79.3,clear sky,37.2975,120.8256,Etsong Hotel
378,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
380,Samarai,PG,82.65,clear sky,-10.6167,150.6667,Nuli Sapi
387,Tabuk,PH,88.54,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
389,Banikoara,BJ,80.53,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
395,Touros,BR,76.6,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
396,Selogiri,ID,87.12,scattered clouds,-7.7833,110.8667,Dimas Gusti Alifatah
399,Heze,CN,86.23,clear sky,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
405,Biak,ID,82.2,broken clouds,-0.9131,122.8766,Penginapan Kim
408,Port Blair,IN,82.44,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
410,Varkkallai,IN,80.38,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
411,Bagu,PH,86.38,overcast clouds,18.4228,121.3583,Claricel Hotel
412,Alofi,NU,76.87,few clouds,-19.0595,-169.9187,Taloa Heights
416,Bathsheba,BB,78.91,scattered clouds,13.2167,-59.5167,Atlantis Hotel
420,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
421,Bengkulu,ID,79.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
424,Sibolga,ID,78.96,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
