City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-05-16 01:31:29,-23.1203,-134.9692,77.13,71,33,18.75
1,Havoysund,NO,2022-05-16 01:30:58,70.9963,24.6622,39.43,99,100,16.93
2,Airai,TL,2022-05-16 01:31:29,-8.9266,125.4092,73.69,55,1,2.33
3,Saint George,US,2022-05-16 01:29:15,37.1041,-113.5841,93.79,4,0,18.41
4,Verkhnevilyuysk,RU,2022-05-16 01:31:30,63.4453,120.3167,43.52,36,100,9.64
5,Kruisfontein,ZA,2022-05-16 01:31:31,-34.0033,24.7314,55.06,65,0,6.4
6,New Norfolk,AU,2022-05-16 01:31:31,-42.7826,147.0587,51.93,75,44,4.0
7,Yellowknife,CA,2022-05-16 01:31:32,62.456,-114.3525,52.32,40,75,8.05
8,Thompson,CA,2022-05-16 01:26:40,55.7435,-97.8558,35.76,93,100,10.36
9,Coihaique,CL,2022-05-16 01:31:32,-45.5752,-72.0662,36.21,100,0,0.0
10,Waki,JP,2022-05-16 01:31:33,34.0667,134.15,66.02,52,99,3.29
11,Hithadhoo,MV,2022-05-16 01:31:33,-0.6,73.0833,82.96,76,100,11.52
12,Punta Arenas,CL,2022-05-16 01:31:34,-53.15,-70.9167,42.91,75,0,8.05
13,Albany,US,2022-05-16 01:28:23,42.6001,-73.9662,67.39,94,100,4.09
14,Tiksi,RU,2022-05-16 01:31:35,71.6872,128.8694,18.61,89,86,6.85
15,Cabo San Lucas,MX,2022-05-16 01:30:26,22.8909,-109.9124,92.5,16,40,17.27
16,Tuktoyaktuk,CA,2022-05-16 01:31:36,69.4541,-133.0374,39.2,75,75,4.61
17,Hermanus,ZA,2022-05-16 01:31:36,-34.4187,19.2345,58.8,60,0,9.71
18,Khash,IR,2022-05-16 01:31:37,28.2211,61.2158,65.34,23,0,2.08
19,Dikson,RU,2022-05-16 01:31:37,73.5069,80.5464,34.72,93,100,14.61
20,Kavieng,PG,2022-05-16 01:31:38,-2.5744,150.7967,83.64,66,100,1.43
21,Atuona,PF,2022-05-16 01:31:38,-9.8,-139.0333,78.73,71,10,15.43
22,Mataura,NZ,2022-05-16 01:31:39,-46.1927,168.8643,55.47,60,4,2.8
23,Esperance,AU,2022-05-16 01:31:39,-33.8667,121.9,53.44,73,98,5.26
24,Port Lincoln,AU,2022-05-16 01:30:16,-34.7333,135.8667,60.51,60,83,17.16
25,Ushuaia,AR,2022-05-16 01:31:40,-54.8,-68.3,51.46,43,0,0.0
26,Abu Dhabi,AE,2022-05-16 01:29:23,24.4667,54.3667,82.42,70,0,6.91
27,Opuwo,NA,2022-05-16 01:31:43,-18.0607,13.84,65.57,35,78,6.55
28,Ulladulla,AU,2022-05-16 01:31:44,-35.35,150.4667,68.77,47,0,8.32
29,Upernavik,GL,2022-05-16 01:31:44,72.7868,-56.1549,8.1,92,34,6.62
30,Qaanaaq,GL,2022-05-16 01:31:45,77.484,-69.3632,20.57,74,91,5.32
31,Norman Wells,CA,2022-05-16 01:31:45,65.282,-126.8329,57.24,41,75,18.41
32,Kapaa,US,2022-05-16 01:31:46,22.0752,-159.319,82.38,77,0,9.22
33,Grand Gaube,MU,2022-05-16 01:31:46,-20.0064,57.6608,73.8,89,25,4.0
34,Ilulissat,GL,2022-05-16 01:31:47,69.2167,-51.1,19.42,63,23,0.0
35,Meleuz,RU,2022-05-16 01:31:47,52.9667,55.9167,49.69,93,98,8.05
36,Haines Junction,CA,2022-05-16 01:31:48,60.7522,-137.5108,48.15,43,97,1.14
37,Warrington,GB,2022-05-16 01:31:48,53.3925,-2.5802,57.31,91,20,14.97
38,Kamenka,RU,2022-05-16 01:31:01,51.3223,42.7678,43.3,97,12,7.61
39,Carnarvon,AU,2022-05-16 01:31:49,-24.8667,113.6333,70.32,32,0,7.74
40,Mandapam,IN,2022-05-16 01:31:49,9.2833,79.1167,84.24,72,100,15.05
41,Meulaboh,ID,2022-05-16 01:31:50,4.1363,96.1285,79.92,82,100,3.8
42,Ancud,CL,2022-05-16 01:31:50,-41.8697,-73.8203,46.49,78,100,9.86
43,Mahebourg,MU,2022-05-16 01:31:51,-20.4081,57.7,73.69,88,40,6.91
44,Udachnyy,RU,2022-05-16 01:31:51,66.4167,112.4,41.45,86,100,2.48
45,Port Blair,IN,2022-05-16 01:31:52,11.6667,92.75,84.81,75,95,7.83
46,Hazleton,US,2022-05-16 01:31:52,40.9584,-75.9746,66.09,79,40,0.0
47,Dingle,PH,2022-05-16 01:32:53,10.9995,122.6711,86.52,64,98,3.33
48,Katherine,AU,2022-05-16 01:32:53,-14.4667,132.2667,86.32,37,0,9.22
49,Longyearbyen,SJ,2022-05-16 01:32:54,78.2186,15.6401,30.04,74,75,1.14
50,Taiping,MY,2022-05-16 01:32:54,4.85,100.7333,82.22,80,100,2.08
51,Chuy,UY,2022-05-16 01:32:55,-33.6971,-53.4616,45.46,71,0,8.34
52,Anito,PH,2022-05-16 01:32:55,12.4497,125.2886,86.09,69,40,9.46
53,Leningradskiy,RU,2022-05-16 01:32:56,69.3833,178.4167,27.37,77,98,5.41
54,Makakilo City,US,2022-05-16 01:32:56,21.3469,-158.0858,79.68,65,100,10.36
55,Caravelas,BR,2022-05-16 01:32:57,-17.7125,-39.2481,73.4,78,100,5.39
56,Aviles,ES,2022-05-16 01:32:57,43.5547,-5.9248,61.38,87,0,1.14
